SNo,Country,Confirmed,Deaths,Recovered
1,Mainland China,1,0,0
2,Mainland China,14,0,0
3,Mainland China,6,0,0
4,Mainland China,1,0,0
5,Mainland China,0,0,0
6,Mainland China,26,0,0
7,Mainland China,2,0,0
8,Mainland China,1,0,0
9,Mainland China,4,0,0
10,Mainland China,1,0,0
11,Mainland China,0,0,0
12,Mainland China,5,0,0
14,Mainland China,444,17,28
15,Mainland China,4,0,0
16,Mainland China,0,0,0
17,Mainland China,1,0,0
18,Mainland China,2,0,0
19,Mainland China,0,0,0
20,Mainland China,2,0,0
22,Mainland China,1,0,0
23,Mainland China,0,0,0
24,Mainland China,0,0,0
25,Mainland China,2,0,0
26,Mainland China,9,0,0
27,Mainland China,1,0,0
28,Mainland China,5,0,0
30,Mainland China,4,0,0
31,Mainland China,0,0,0
32,US,1,0,0
33,Mainland China,0,0,0
34,Mainland China,1,0,0
35,Mainland China,10,0,0
38,South Korea,1,0,0
39,Mainland China,9,0,0
40,Mainland China,22,0,0
41,Mainland China,9,0,0
42,Mainland China,5,0,0
43,Mainland China,2,0,0
44,Mainland China,32,0,2
45,Mainland China,5,0,0
46,Mainland China,3,0,0
47,Mainland China,5,0,0
48,Mainland China,1,1,0
49,Mainland China,2,0,0
50,Mainland China,5,0,0
52,Mainland China,444,17,28
53,Mainland China,9,0,0
54,Mainland China,0,0,0
55,Mainland China,5,0,0
56,Mainland China,7,0,0
57,Mainland China,1,0,0
58,Mainland China,3,0,0
60,Mainland China,1,0,0
61,Mainland China,0,0,0
62,Mainland China,3,0,0
63,Mainland China,6,0,0
64,Mainland China,16,0,0
65,Mainland China,1,0,0
66,Mainland China,8,0,0
68,Mainland China,4,0,0
69,Mainland China,0,0,0
70,US,1,0,0
71,Mainland China,2,0,0
72,Mainland China,2,0,0
73,Mainland China,27,0,0
76,South Korea,1,0,0
85,Mainland China,549,24,31
86,Mainland China,53,0,2
87,Mainland China,43,0,1
88,Mainland China,36,0,1
89,Mainland China,27,0,0
90,Mainland China,24,0,0
91,Mainland China,23,0,0
92,Mainland China,20,0,1
93,Mainland China,18,0,0
94,Mainland China,15,0,0
95,Mainland China,15,0,0
96,Mainland China,15,0,0
97,Mainland China,10,0,0
98,Mainland China,9,0,0
99,Mainland China,9,0,0
100,Mainland China,8,0,0
101,Mainland China,8,0,0
102,Mainland China,5,0,0
103,Mainland China,5,0,0
104,Mainland China,4,1,0
105,Mainland China,4,0,0
106,Mainland China,3,0,0
107,Mainland China,3,0,0
109,Mainland China,2,0,0
112,Mainland China,2,1,0
113,Mainland China,2,0,0
114,Mainland China,2,0,0
115,Mainland China,1,0,0
116,Mainland China,1,0,0
117,Mainland China,0,0,0
118,US,1,0,0
119,US,1,0,0
122,South Korea,2,0,0
126,Mainland China,761,40,32
127,Mainland China,78,0,2
128,Mainland China,62,0,1
129,Mainland China,57,0,0
130,Mainland China,43,0,0
131,Mainland China,41,0,2
132,Mainland China,39,0,0
133,Mainland China,33,0,1
134,Mainland China,32,0,0
135,Mainland China,28,0,0
136,Mainland China,27,0,0
137,Mainland China,23,0,0
138,Mainland China,19,0,0
139,Mainland China,18,0,0
140,Mainland China,18,0,0
141,Mainland China,18,0,1
142,Mainland China,17,0,0
143,Mainland China,15,0,0
144,Mainland China,11,0,0
145,Mainland China,10,0,0
146,Mainland China,9,1,0
147,Mainland China,8,1,0
148,Mainland China,7,0,0
149,Mainland China,6,0,0
151,Mainland China,4,0,0
152,Mainland China,4,0,0
153,Mainland China,4,0,0
154,Mainland China,3,0,0
156,Mainland China,3,0,0
158,Mainland China,1,0,0
159,US,1,0,0
160,US,1,0,0
163,South Korea,2,0,0
170,Mainland China,1058,52,42
171,Mainland China,111,0,2
172,Mainland China,104,0,1
173,Mainland China,83,1,0
174,Mainland China,75,0,0
175,Mainland China,69,0,0
176,Mainland China,68,0,2
177,Mainland China,60,0,0
178,Mainland China,46,0,0
179,Mainland China,44,0,0
180,Mainland China,40,1,1
181,Mainland China,36,0,0
182,Mainland China,36,0,0
183,Mainland China,35,0,0
184,Mainland China,33,0,1
185,Mainland China,22,0,0
186,Mainland China,22,0,0
187,Mainland China,21,0,0
188,Mainland China,16,0,0
189,Mainland China,15,1,0
190,Mainland China,14,0,0
191,Mainland China,13,1,0
192,Mainland China,9,0,0
194,Mainland China,7,0,0
195,Mainland China,7,0,0
196,Mainland China,5,0,0
198,Mainland China,4,0,0
199,Mainland China,4,0,0
201,Mainland China,4,0,0
202,Mainland China,1,0,0
203,US,1,0,0
204,US,1,0,0
205,US,2,0,0
206,US,1,0,0
209,South Korea,3,0,0
217,Mainland China,1423,76,45
218,Mainland China,151,0,4
219,Mainland China,128,0,1
220,Mainland China,128,1,0
221,Mainland China,110,0,0
222,Mainland China,100,0,0
223,Mainland China,80,1,2
224,Mainland China,75,0,0
225,Mainland China,72,0,2
226,Mainland China,70,0,0
227,Mainland China,69,0,0
228,Mainland China,59,0,0
229,Mainland China,53,1,3
230,Mainland China,47,0,1
231,Mainland China,46,0,0
232,Mainland China,35,0,0
233,Mainland China,33,1,0
234,Mainland China,27,0,0
235,Mainland China,26,0,0
236,Mainland China,23,0,0
237,Mainland China,21,1,0
238,Mainland China,18,1,0
239,Mainland China,14,0,0
240,Mainland China,13,0,0
241,Mainland China,11,0,0
243,Mainland China,7,0,0
244,Mainland China,7,0,0
245,Mainland China,6,0,0
247,Mainland China,6,0,0
249,Mainland China,5,0,0
250,US,1,0,0
251,US,1,0,0
252,US,2,0,0
253,US,1,0,0
256,South Korea,4,0,0
268,Mainland China,3554,125,80
269,Mainland China,207,0,4
270,Mainland China,173,0,3
271,Mainland China,168,1,0
272,Mainland China,143,0,0
273,Mainland China,132,0,0
274,Mainland China,109,0,3
275,Mainland China,106,0,0
276,Mainland China,95,0,0
277,Mainland China,91,1,4
278,Mainland China,90,0,0
279,Mainland China,80,0,0
280,Mainland China,70,0,1
281,Mainland China,66,1,4
282,Mainland China,51,0,2
283,Mainland China,46,0,0
284,Mainland China,44,0,0
285,Mainland China,40,1,0
286,Mainland China,34,0,0
287,Mainland China,33,1,0
288,Mainland China,33,1,0
289,Mainland China,27,0,0
290,Mainland China,24,0,0
291,Mainland China,19,0,0
292,Mainland China,15,0,0
293,Mainland China,11,0,0
294,Mainland China,10,0,0
295,Mainland China,9,0,0
296,Mainland China,8,0,0
300,Mainland China,6,0,0
301,US,1,0,0
302,US,1,0,0
303,US,2,0,0
304,US,1,0,0
307,South Korea,4,0,0
320,Mainland China,3554,125,88
321,Mainland China,296,0,3
322,Mainland China,277,0,5
323,Mainland China,221,0,0
324,Mainland China,206,2,1
325,Mainland China,152,0,2
326,Mainland China,147,0,1
327,Mainland China,130,0,1
328,Mainland China,111,1,4
329,Mainland China,109,0,3
330,Mainland China,108,1,1
331,Mainland China,99,0,1
332,Mainland China,96,1,5
333,Mainland China,84,0,0
334,Mainland China,58,0,2
335,Mainland China,56,0,0
336,Mainland China,55,0,0
337,Mainland China,48,1,0
338,Mainland China,43,1,0
339,Mainland China,39,0,1
340,Mainland China,38,1,0
341,Mainland China,27,0,0
342,Mainland China,27,0,1
343,Mainland China,24,0,0
344,Mainland China,16,0,0
345,Mainland China,13,0,0
346,Mainland China,12,0,0
348,Mainland China,9,0,1
349,Mainland China,9,0,0
352,Mainland China,6,0,0
353,US,1,0,0
354,US,1,0,0
355,US,2,0,0
356,US,1,0,0
374,Mainland China,4903,162,90
375,Mainland China,428,0,4
376,Mainland China,354,0,10
377,Mainland China,278,2,2
378,Mainland China,277,0,2
379,Mainland China,200,0,2
380,Mainland China,182,0,1
381,Mainland China,162,0,5
382,Mainland China,158,0,1
383,Mainland China,142,1,1
384,Mainland China,129,0,1
385,Mainland China,114,1,4
386,Mainland China,112,1,5
387,Mainland China,101,0,0
388,Mainland China,78,0,2
389,Mainland China,70,0,0
390,Mainland China,65,1,0
391,Mainland China,63,0,0
392,Mainland China,46,1,1
393,Mainland China,44,2,0
394,Mainland China,41,0,1
395,Mainland China,35,0,1
396,Mainland China,31,0,0
397,Mainland China,26,0,0
398,Mainland China,19,0,0
399,Mainland China,17,0,0
400,Mainland China,14,0,1
401,Mainland China,14,0,0
402,Mainland China,12,0,1
405,Mainland China,8,0,0
407,Mainland China,1,0,0
408,US,1,0,0
409,US,1,0,0
410,US,2,0,0
411,US,1,0,0
414,South Korea,4,0,0
432,Mainland China,5806,204,141
433,Mainland China,538,0,14
434,Mainland China,436,0,11
435,Mainland China,352,2,3
436,Mainland China,332,0,2
437,Mainland China,240,0,7
438,Mainland China,237,0,3
439,Mainland China,211,0,1
440,Mainland China,184,0,2
441,Mainland China,177,1,1
442,Mainland China,168,0,5
443,Mainland China,139,1,5
444,Mainland China,135,1,9
445,Mainland China,120,0,0
446,Mainland China,87,0,2
447,Mainland China,87,0,0
